Zone_V4B,MEDIANVs30_(m/s)
110,241.2
303,231.7
306,219.6
308,258.2
309,251.3
310,260.5
311,225.5
312,205.2
313,232.4
316,200.0
317,216.4
318,209.3
320,230.0
321,221.6
322,232.9
601,171.3
602,180.8
603,182.9
604,166.1
606,185.4
611,163.4
619,197.6
620,163.0
625,201.1
708,207.5
801,181.5
802,208.9
811,204.1
820,186.0
821,190.8
1001,175.9
1002,173.8
1004,169.4
1007,159.6
1008,174.7
1009,167.6
1010,167.4
1011,181.4
1012,172.4
1013,155.9
1017,185.7
1019,190.7
1021,181.4
1032,173.4
1033,167.7
1034,169.7
1035,178.1
1036,172.6
1037,180.2
1101,173.3
1103,200.1
1105,161.8
1106,166.9
1107,180.9
1108,164.3
1109,170.8
1110,183.0
1201,185.5
1202,174.4
1203,193.0
1204,181.7
1206,157.7
1207,170.2
1208,168.6
1209,169.7
1221,196.9
1402,241.0
1404,239.7
1405,237.1
1407,250.4
1410,203.7
1411,240.9
1412,214.4
1413,247.3
1502,201.6
1701,227.2
1702,234.9
1704,219.9
1706,191.3
1714,202.3
1730,194.3
1731,209.4
1734,224.6
1735,212.6
1736,185.1
1737,228.8
1738,193.1
1739,187.1
1801,201.7
1803,201.7
1806,187.8
1807,201.1
1901,188.6
2001,166.6
2002,191.2
2003,183.2
2004,211.7
2007,176.4
2010,173.9
2012,177.8
2013,179.3
2014,168.1
2015,164.3
2027,203.4
2041,181.6
2043,183.5
2045,168.1
2046,191.0
2047,173.3
2048,165.8
2049,174.2
2103,165.0
2105,169.8
2106,170.3
2108,189.7
2109,186.9
2110,175.0
2111,169.5
2202,181.7
2203,206.1
2204,192.3
2207,201.4
2210,183.8
2803,249.6
2811,211.0
2812,206.9
2813,169.6
2817,258.4
2820,206.6
2821,213.8
2822,253.3
2823,227.8
2824,254.8
2825,229.1
2911,215.8
3003,201.0
3023,214.6
3024,238.2
3111,253.1
3115,254.2
3116,236.6
3117,229.6
3311,269.4
3320,252.5
3321,261.6
3326,231.3
3327,250.4
3401,254.3
3402,252.2
3407,221.5
3408,233.1
3409,210.6
3411,241.5
3412,220.9
3418,238.1
3423,247.1
3424,215.5
3425,228.4
3426,228.4
3430,216.6
