structural_system,Pd_inside|CS1,Pd_inside|CS2,Pd_inside|CS3,Pd_outside|CS1,Pd_outside|CS2,Pd_outside|CS3,Median_PGA_chd,beta_chd
RC1L,0.09594,0.09594,0.09594,0.0312,0.0312,0.0312,0,0
RC1M,0.0738,0.0738,0.0738,0.024,0.024,0.024,0,0
RC1H,0.0369,0.0369,0.0369,0.012,0.012,0.012,0,0
RC2,0.09594,0.09594,0.09594,0.0312,0.0312,0.0312,0,0
PC2,0.09594,0.09594,0.09594,0.0312,0.0312,0.0312,0,0
RC3L,0.16236,0.16236,0.738,0.0528,0.0528,0.24,168.9241329,2.054906508
RC3M,0.08118,0.08118,0.369,0.0264,0.0264,0.12,129.6940789,2.013040714
RC3H,0.04059,0.04059,0.1845,0.0132,0.0132,0.06,0,0
PC3L,0.16236,0.16236,0.738,0.0528,0.0528,0.24,168.9241329,2.054906508
PC3M,0.08118,0.08118,0.369,0.0264,0.0264,0.12,129.6940789,2.013040714
PC3H,0.04059,0.04059,0.1845,0.0132,0.0132,0.06,0,0
W1,0.252,0.252,0.252,0.24,0.24,0.24,0,0
W2,0.00756,0.00756,0.00756,0.0072,0.0072,0.0072,0,0
W3,0.00756,0.00756,0.00756,0.0072,0.0072,0.0072,286.6824369,2.136248393
S1L,0.05904,0.05904,0.05904,0.0192,0.0192,0.0192,0,0
S1M,0.0369,0.0369,0.0369,0.012,0.012,0.012,0,0
S1H,0.02214,0.02214,0.02214,0.0072,0.0072,0.0072,0,0
S2L,0.05904,0.05904,0.05904,0.0192,0.0192,0.0192,0,0
S2M,0.0369,0.0369,0.0369,0.012,0.012,0.012,0,0
S2H,0.02214,0.02214,0.02214,0.0072,0.0072,0.0072,0,0
S3,0.02214,0.02214,0.02214,0.0072,0.0072,0.0072,0,0
URM1_F,0.02268,0.1134,0.1512,0,0,0.1425,993.9862902,2.316261954
URM1_O,0.013608,0.03402,0.46872,0.00675,0.0135,0.549,677.5874236,2.262310011
URM2L,0,0,0.504,0.04,0.08,0.6,129.6940789,2.013040714
URM3L,0.0378,0.09576,0.504,0.045,0.114,0.6,168.9241329,2.054906508
URM3M_U,0.00819,0.01512,0.504,0.013,0.024,0.8,129.6940789,2.013040714
URM3M_D,0.03024,0.03024,0.504,0.048,0.048,0.8,129.6940789,2.013040714
URM3M_B,0.0126,0.0126,0.504,0.006,0.006,0.24,677.5874236,2.262310011
URM4L,0.01008,0.0252,0.504,0.012,0.03,0.6,168.9241329,2.054906508
URM5L,0.252,0.252,0.504,0.3,0.3,0.6,168.9241329,2.054906508
URM6L,0.504,0.504,0.504,0.3,0.3,0.3,422.919234,2.19412516
URM7L,0,0.0126,0.504,0.012,0.012,0.3,422.919234,2.19412516
URM8L,0,0,0.504,0.072,0.12,0.3,422.919234,2.19412516
URM9L,0.0126,0.0252,0.504,0.0075,0.015,0.6,209.7584889,2.088583632
URM10,0.504,0.504,0.504,0.3,0.3,0.3,0,0
