periods,tau_level1,tau_level2,tau_level3,tau_level4,phi_ss_level1,phi_ss_level2
-0.01,0.1878,0.197,0.199,0.2087,0.4,0.51
0.01,0.1795,0.181,0.2051,0.2218,0.437,0.556
0.025,0.179500001,0.181000007,0.2051,0.221800002,0.437,0.556
0.05,0.179500068,0.181000395,0.205100004,0.221800121,0.437,0.556
0.075,0.179501026,0.181004239,0.205100088,0.22180149,0.437,0.556
0.1,0.179507018,0.181022844,0.2051008,0.221808829,0.437,0.556
0.125,0.179531188,0.181084347,0.205104446,0.221835084,0.432,0.551
0.15,0.17960546,0.181245063,0.205118051,0.221908272,0.429,0.546
0.175,0.179795174,0.181602963,0.205159008,0.22208047,0.426,0.543
0.2,0.180218681,0.182311812,0.205264539,0.222438535,0.423,0.54
0.25,0.182643133,0.185737386,0.206008984,0.224297444,0.419,0.534
0.3,0.189634844,0.194017664,0.20871187,0.229182704,0.416,0.53
0.4,0.229423752,0.232238774,0.231877587,0.255162598,0.41,0.523
0.5,0.283680301,0.281023153,0.281017059,0.293519729,0.406,0.517
0.6,0.313450187,0.311224385,0.314101621,0.318892744,0.403,0.513
0.7,0.324643643,0.324744968,0.3260582,0.330177549,0.4,0.51
0.85,0.329705692,0.332007988,0.330765193,0.335997142,0.396,0.505
1,0.331021184,0.334253323,0.331785213,0.337695965,0.393,0.501
1.5,0.331654667,0.33556419,0.33218156,0.338617547,0.393,0.501
2,0.331693373,0.335674786,0.332197979,0.338686074,0.393,0.501
2.5,0.331698509,0.335693173,0.332199636,0.338696496,0.393,0.501
3,0.331699559,0.335697653,0.33219991,0.338698865,0.393,0.501
4,0.331699936,0.335699565,0.33219999,0.338699808,0.393,0.501
5,0.331699986,0.335699882,0.332199998,0.338699952,0.393,0.501
